MAJ   , Code Postal , Latitude , Longitude , Eloignement 
SAINT DIDIER D AUSSIAT,01340,46.3,5.066667,1.33
SAINT DIDIER DE FORMANS,01600,45.95,4.783333,1.91
SAINT DIDIER SUR CHALARONNE,01140,46.166667,4.816667,1.8
SAINT ELOI  ,01800,45.933333,5.15,0.9
SAINT ETIENNE DU BOIS,01370,46.283333,5.283333,1.21
SAINT ETIENNE SUR CHALARONNE,01140,46.15,4.866667,1.63
SAINT ETIENNE SUR REYSSOUZE,01190,46.4,5,1.91
SAINTE EUPHEMIE  ,01600,45.966667,4.783333,1.91
SAINT GENIS POUILLY ,01630,46.25,6.016667,2.29
SAINT GENIS SUR MENTHON,01380,46.283333,5.016667,1.34
SAINT GEORGES SUR RENON,01400,46.1,5.033333,1.06
SAINT GERMAIN DE JOUX,01130,46.183333,5.733333,1.33
SAINT GERMAIN LES PAROISSES,01300,45.766667,5.616667,1.91
SAINT GERMAIN SUR RENON,01240,46.083333,5.05,1.09
SAINT JEAN DE GONVILLE,01630,46.216667,5.95,2.06
SAINT JEAN DE NIOST,01800,45.833333,5.216667,1.51
SAINT JEAN DE THURIGNEUX,01390,45.95,4.883333,1.57
SAINT JEAN SUR REYSSOUZE,01560,46.4,5.066667,1.91
SAINT JEAN SUR VEYLE,01290,46.25,4.916667,1.46
SAINTE JULIE  ,01150,45.883333,5.283333,1.21
SAINT JULIEN SUR REYSSOUZE,01560,46.4,5.116667,1.91
SAINT JULIEN SUR VEYLE,01540,46.2,4.95,1.35
SAINT LAURENT SUR SAONE,01620,46.3,4.833333,1.74
SAINT MARTIN DE BAVEL,01510,45.85,5.683333,1.41
SAINT MARTIN DU FRENE,01430,46.133333,5.55,0.83
SAINT MARTIN DU MONT,01160,46.1,5.333333,0.94
SAINT MARTIN LE CHATEL,01310,46.283333,5.116667,1.21
SAINT MAURICE DE BEYNOST,01700,45.833333,4.966667,1.51
SAINT MAURICE DE GOURDANS,01800,45.816667,5.2,1.61
SAINT MAURICE DE REMENS,01500,45.95,5.283333,1.6
SAINT NIZIER LE BOUCHOUX,01560,46.45,5.15,2.21
SAINT NIZIER LE DESERT,01320,46.05,5.15,1.42
SAINTE OLIVE  ,01330,46.016667,4.933333,1.4
SAINT PAUL DE VARAX,01240,46.1,5.133333,0.72
SAINT RAMBERT EN BUGEY,01230,45.95,5.433333,0.88
SAINT REMY  ,01310,46.183333,5.166667,1.47
SAINT SORLIN EN BUGEY,01150,45.883333,5.366667,1.21
SAINT TRIVIER DE COURTES,01560,46.466667,5.083333,2.31
SAINT TRIVIER SUR MOIGNANS,01990,46.066667,4.9,1.51
SAINT VULBAS  ,01150,45.833333,5.283333,1.51
SALAVRE   ,01270,46.366667,5.35,1.71
SAMOGNAT   ,01580,46.25,5.583333,1.38
SANDRANS   ,01400,46.066667,4.983333,1.23
SAULT BRENAZ  ,01150,45.85,5.416667,1.41
SAUVERNY   ,01220,46.316667,6.116667,2.63
   ,01480,46,4.85,2.19
SEGNY   ,01170,46.3,6.083333,2.52
SEILLONNAZ   ,01470,45.8,5.483333,1.71
SERGY   ,01630,46.25,6,2.23
SERMOYER   ,01190,46.5,4.983333,2.51
SERRIERES SUR AIN ,01450,46.15,5.45,0.68
SERVAS   ,01240,46.133333,5.166667,0.69
SERVIGNAT   ,01560,46.433333,5.066667,2.11
SIMANDRE SUR SURAN ,01250,46.216667,5.416667,0.8
SONGIEU   ,01260,45.966667,5.7,1.21
SONTHONNAX LA MONTAGNE ,01580,46.233333,5.533333,0.91
SOUCLIN   ,01150,45.866667,5.416667,1.31
SULIGNAT   ,01400,46.166667,4.966667,1.29
SURJOUX   ,01420,46.016667,5.8,1.55
SUTRIEU   ,01260,45.95,5.65,1.04
TALISSIEU   ,01510,45.866667,5.716667,1.49
TENAY   ,01230,45.916667,5.5,1
THEZILLIEU   ,01110,45.883333,5.6,1.28
THIL   ,01120,45.816667,5.016667,1.61
THOISSEY   ,01140,46.166667,4.8,1.85
TORCIEU   ,01230,45.916667,5.4,1.56
TOSSIAT   ,01250,46.133333,5.316667,1.44
TOUSSIEUX   ,01600,45.966667,4.833333,1.74
TRAMOYES   ,01390,45.866667,4.966667,1.7
LA TRANCLIERE  ,01160,46.116667,5.266667,1.73
TREVOUX   ,01600,45.933333,4.766667,1.97
VALEINS   ,01140,46.116667,4.866667,1.63
VANDEINS   ,01660,46.216667,5.083333,0.89
VARAMBON   ,01160,46.033333,5.316667,0.74
VAUX EN BUGEY ,01150,45.916667,5.35,1
VERJON   ,01270,46.35,5.35,1.61
VERNOUX   ,01560,46.483333,5.116667,2.41
VERSAILLEUX   ,01330,45.983333,5.1,1.59
VESANCY   ,01170,46.35,6.083333,2.52
VESCOURS   ,01560,46.466667,5.033333,2.31
VESINES   ,01570,46.35,4.866667,1.63
VEYZIAT   ,01100,46.283333,5.633333,1.21
VIEU D IZENAVE ,01430,46.083333,5.533333,0.64
VIEU   ,01260,45.9,5.683333,1.17
VILLARS LES DOMBES ,01330,46,5.016667,1.12
VILLEBOIS   ,01150,45.85,5.433333,1.54
VILLEMOTIER   ,01270,46.35,5.316667,1.61
VILLEREVERSURE   ,01250,46.183333,5.383333,0.6
VILLES   ,01200,46.083333,5.783333,1.5
VIRIAT   ,01440,46.25,5.216667,1.01
VIRIEU LE GRAND ,01510,45.85,5.65,1.41
VIRIEU LE PETIT ,01260,45.9,5.716667,1.44
VIRIGNIN   ,01300,45.716667,5.716667,2.21
VOLOGNAT   ,01460,46.183333,5.516667,1.45
VONGNES   ,01350,45.816667,5.716667,1.61
VONNAS   ,01540,46.216667,5,1.17
VOUVRAY   ,01200,46.116667,5.783333,1.5
LA VALBONNE  ,01360,45.85,5.133333,1.41
CHANES   ,01120,45.85,5.15,2.17
MARFOZ   ,01800,45.883333,5.15,1.21
LE MAS RILLIER ,01700,45.833333,4.95,1.51
ABBECOURT   ,02300,49.6,3.183333,1.5
ACHERY   ,02800,49.683333,3.383333,0.63
ACY   ,02200,49.35,3.416667,1.65
AGNICOURT ET SECHELLES ,02340,49.716667,3.95,1.84
AGUILCOURT   ,02190,49.4,3.966667,1.92
AISONVILLE ET BERNOVILLE ,02110,49.933333,3.533333,1.59
AIZELLES   ,02820,49.483333,3.816667,1.26
ALAINCOURT   ,02240,49.75,3.366667,1.04
ALLEMANT   ,02320,49.466667,3.45,1.2
